millis,stamp,datetime,accX,accY,accZ
55559, 1706974760, "2024/2/3 15:39:20",  22,  16,  1002
55809, 1706974760, "2024/2/3 15:39:20",  19,  18,  1004
56059, 1706974760, "2024/2/3 15:39:20",  19,  15,  1004
56309, 1706974760, "2024/2/3 15:39:20",  16,  15,  1004
56559, 1706974761, "2024/2/3 15:39:21",  17,  15,  1004
56809, 1706974761, "2024/2/3 15:39:21",  19,  16,  1004
57059, 1706974761, "2024/2/3 15:39:21",  19,  15,  1004
57309, 1706974761, "2024/2/3 15:39:21",  19,  9,  1004
57559, 1706974762, "2024/2/3 15:39:22",  20,  16,  1005
57809, 1706974762, "2024/2/3 15:39:22",  21,  11,  1001
58059, 1706974762, "2024/2/3 15:39:22",  18,  23,  1003
58309, 1706974762, "2024/2/3 15:39:22",  18,  13,  1003
58559, 1706974763, "2024/2/3 15:39:23",  19,  20,  1000
58809, 1706974763, "2024/2/3 15:39:23",  17,  13,  1005
59059, 1706974763, "2024/2/3 15:39:23",  21,  17,  1004
59309, 1706974763, "2024/2/3 15:39:23",  19,  16,  1004
59559, 1706974764, "2024/2/3 15:39:24",  19,  10,  1004
59809, 1706974764, "2024/2/3 15:39:24",  23,  19,  1007
60059, 1706974764, "2024/2/3 15:39:24",  16,  14,  1006
60309, 1706974764, "2024/2/3 15:39:24",  20,  19,  1007
60559, 1706974765, "2024/2/3 15:39:25",  18,  15,  1006
60809, 1706974765, "2024/2/3 15:39:25",  16,  25,  1002
61059, 1706974765, "2024/2/3 15:39:25",  20,  19,  1006
61309, 1706974765, "2024/2/3 15:39:25",  20,  19,  1004
61559, 1706974766, "2024/2/3 15:39:26",  17,  17,  1002
61809, 1706974766, "2024/2/3 15:39:26",  15,  13,  1006
62059, 1706974766, "2024/2/3 15:39:26",  21,  15,  1006
62309, 1706974766, "2024/2/3 15:39:26",  19,  16,  1002
62559, 1706974767, "2024/2/3 15:39:27",  19,  14,  1003
62809, 1706974767, "2024/2/3 15:39:27",  19,  15,  1003
63059, 1706974767, "2024/2/3 15:39:27",  23,  16,  1004
